"","x"
"1",0.159436567520064
"2",0.159436567520064
"3",0.159436567520064
"4",0.159436567520064
"5",0.159436567520064
"6",0.159436567520064
"7",0.159436567520064
"8",0.159436567520064
"9",0.159436567520064
"10",0.159436567520064
"11",0.159436567520064
"12",0.159436567520064
"13",0.384816088091209
"14",0.384816088091209
"15",0.384816088091209
"16",0.384816088091209
"17",0.384816088091209
"18",0.384816088091209
"19",0.159436567520064
"20",0.159436567520064
"21",0.159436567520064
"22",0.159436567520064
"23",0.159436567520064
"24",0.159436567520064
